setting,factor,level,demand,policy,pairs,delta_completion_rate_mean,delta_completion_rate_ci_low,delta_completion_rate_ci_high,delta_final_queue_mean,delta_final_queue_ci_low,delta_final_queue_ci_high,delta_mean_wait_mean,delta_mean_wait_ci_low,delta_mean_wait_ci_high,delta_peak_lae_db_mean,delta_peak_lae_db_ci_low,delta_peak_lae_db_ci_high,delta_peak_budget_utilization_mean,delta_peak_budget_utilization_ci_low,delta_peak_budget_utilization_ci_high,delta_population_weighted_equivalent_mean,delta_population_weighted_equivalent_ci_low,delta_population_weighted_equivalent_ci_high
source_plus_1,source level,+1 dB,45,P3-U,30,-0.13519614549238898,-0.13785519667999907,-0.1325370943047789,205.83333333333334,201.65479942849666,210.01186723817003,553.7577985180144,525.3472689078678,582.168328128161,0.2544281862966547,0.09009238517970442,0.418763987413605,0.00003807656778340718,0.00001019704807766032,0.00006595608748915404,1.0394352844819177,0.4653730754409614,1.6134974935228739
source_plus_1,source level,+1 dB,45,P3-D,30,0.05455804057574002,0.054119183696723486,0.054996897454756555,-83.03333333333333,-83.30704588216325,-82.75962078450341,652.8963298901729,636.0880877890935,669.7045719912522,0.2603679860965755,0.1571007452908097,0.36363522690234135,-0.006063947348049662,-0.008632547182829822,-0.003495347513269503,38.610854717891606,38.56834262793083,38.65336680785238
source_plus_1,source level,+1 dB,80,P0,30,0,0,0,0,0,0,0,0,0,1.000000000000005,1.0000000000000022,1.000000000000008,0.5955343679410149,0.5955341890711023,0.5955345468109274,209.8548641061816,209.7781866793055,209.9315415330577
source_plus_1,source level,+1 dB,80,P1,30,0,0,0,0,0,0,0,0,0,1,0.9999999999999977,1.0000000000000022,0.5170340239956388,0.5116063752873509,0.5224616727039267,37.92027194052555,37.89926309194938,37.941280789101725
source_plus_1,source level,+1 dB,80,P2,30,-0.008346086026817457,-0.008505591649764522,-0.008186580403870393,22.333333333333332,21.920129052404665,22.746537614262,42.222637370534386,40.505186494832095,43.94008824623668,-0.014102518352504489,-0.014103223100547083,-0.014101813604461895,-0.0031018380148885396,-0.003101992936160926,-0.003101683093616153,33.5671073347095,33.50589889639139,33.6283157730276
source_plus_1,source level,+1 dB,80,P3-U,30,-0.07883317516498432,-0.07937340126054737,-0.07829294906942127,210.93333333333334,210.6226000762009,211.24406659046576,373.16650944537713,368.07842178187593,378.25459710887833,-0.1760113966941333,-0.23570930173633095,-0.11631349165193564,0.000042559715368913524,0.000009019187194002828,0.00007610024354382422,0.336700670488663,0.29292352944897726,0.3804778115283487
source_plus_1,source level,+1 dB,80,P3-D,30,0.03078318253482879,0.030569039237190603,0.03099732583246698,-82.36666666666666,-82.54205833564752,-82.1912749976858,814.3866977002352,810.7415234723388,818.0318719281316,-0.005291581485244971,-0.022181158057980793,0.011597995087490853,-0.02066156009405706,-0.022907408673229088,-0.01841571151488503,38.49814043785075,38.47339003648099,38.52289083922051
validation_minus_rmse,validation error,-2.29 dB,45,P0,30,0,0,0,0,0,0,0,0,0,-2.2863840116087655,-2.286384011608768,-2.286384011608763,-0.9414157702346605,-0.9414159464212652,-0.9414155940480557,-325.4923401796477,-326.9859607505668,-323.99871960872866
validation_minus_rmse,validation error,-2.29 dB,45,P1,30,0,0,0,0,0,0,0,0,0,-2.2863840116087633,-2.2863840116087655,-2.286384011608761,-0.8289133453529967,-0.8367791285140707,-0.8210475621919227,-59.15658671188579,-59.38470932335915,-58.92846410041243
validation_minus_rmse,validation error,-2.29 dB,45,P2,30,0.0011142466327590083,0.000806160963429706,0.0014223323020883106,-1.7,-2.1712815494484956,-1.2287184505515043,-7.776803050181487,-10.026774642518507,-5.526831457844466,0.08892404416041112,0.08892341978396678,0.08892466853685546,0.019792489548941937,0.019792351515357933,0.01979262758252594,-53.55428945668759,-53.7887606925006,-53.31981822087458
validation_minus_rmse,validation error,-2.29 dB,45,P3-U,30,0.01364708499366992,0.01043375509010271,0.01686041489723713,-20.733333333333334,-25.623576185900895,-15.843090480765774,-25.52529057414242,-50.39715514020678,-0.6534260080780676,-0.2622187351059528,-0.3670871796878256,-0.15735029052407995,0.000047103878125961024,0.000023378607074751334,0.00007082914917717071,-54.30205756049148,-54.83336471803644,-53.77075040294651
validation_minus_rmse,validation error,-2.29 dB,45,P3-D,30,0.17711016002703858,0.1747095639749708,0.17951075607910635,-269.56666666666666,-272.84863954310634,-266.284693790227,298.841633314305,283.0784615486653,314.6048050799447,0.054482501685732626,0.019169997879896053,0.0897950054915692,0.00002151684065609949,0.000003130533567641444,0.000039903147744557535,-20.121658718339713,-20.419390497094273,-19.823926939585153
validation_minus_rmse,validation error,-2.29 dB,80,P0,30,0,0,0,0,0,0,0,0,0,-2.286384011608763,-2.286384011608765,-2.2863840116087606,-0.9414161648413775,-0.9414164475975645,-0.9414158820851904,-331.7369609132619,-331.85817200203445,-331.61574982448934
validation_minus_rmse,validation error,-2.29 dB,80,P1,30,0,0,0,0,0,0,0,0,0,-2.286384011608764,-2.2863840116087664,-2.286384011608762,-0.8173234227360151,-0.8259034082181774,-0.8087434372538528,-59.944075273801936,-59.97728590062553,-59.91086464697834
validation_minus_rmse,validation error,-2.29 dB,80,P2,30,0.0006727156322916243,0.0005396026547717735,0.000805828609811475,-1.8,-2.156609319699516,-1.443390680300484,-9.725594993353146,-11.536959723570181,-7.914230263136112,0.0889246774617798,0.08892426254392,0.08892509237963961,0.019792629487522584,0.019792537881357056,0.019792721093688112,-54.572723532919795,-54.62207856480741,-54.52336850103218
validation_minus_rmse,validation error,-2.29 dB,80,P3-U,30,0.014379093587056694,0.013913596136399954,0.014844591037713434,-38.5,-39.78422685717503,-37.21577314282497,-99.37109015079798,-106.98283461437389,-91.75934568722208,-0.31997861730973937,-0.37295988599100544,-0.2669973486284733,0.00004503395319844413,0.00001645327226901507,0.00007361463412787318,-53.14379054398887,-53.25319939558745,-53.03438169239029
validation_minus_rmse,validation error,-2.29 dB,80,P3-D,30,0.10212858928777206,0.10145507327979057,0.10280210529575355,-273.26666666666665,-273.47539512874414,-273.05793820458916,643.756291203863,637.5695566390971,649.943025768629,0.0891157985132556,0.08896151358872514,0.08927008343778606,0.00001051521962704971,-0.0000012588412597285512,0.00002228928051382797,-19.802169050421913,-19.828128328665276,-19.77620977217855
validation_plus_rmse,validation error,+2.29 dB,45,P0,30,0,0,0,0,0,0,0,0,0,2.2863840116087606,2.286384011608757,2.286384011608764,1.5937487983365126,1.593748500065336,1.5937490966076893,551.0349862736464,548.5063946934569,553.5635778538359
validation_plus_rmse,validation error,+2.29 dB,45,P1,30,0,0,0,0,0,0,0,0,0,2.2863840116087646,2.2863840116087624,2.286384011608767,1.4032903312764116,1.3899741293842205,1.4166065331686026,100.14782200032228,99.76162692116144,100.53401707948312
validation_plus_rmse,validation error,+2.29 dB,45,P2,30,-0.18953002193899532,-0.19241397432824178,-0.18664606954974886,288.56666666666666,283.72839370288807,293.40493963044526,881.0092917489303,845.5589011624213,916.4596823354393,-0.07470368946674834,-0.07470452873539961,-0.07470285019809707,-0.016316975101520727,-0.01631715802677892,-0.016316792176262532,30.25083537414718,29.587949277212136,30.913721471082223
validation_plus_rmse,validation error,+2.29 dB,45,P3-U,30,-0.2686076484580207,-0.271508111655523,-0.2657071852605184,408.8666666666667,404.7203289186888,413.01300441464457,1344.762996172563,1310.8860271060264,1378.6399652390994,0.27413918235970886,0.16943000002591924,0.3788483646934985,-0.000049616705261856796,-0.00007379587830493855,-0.000025437532218775033,2.257470718892383,1.6890347458130637,2.8259066919717024
validation_plus_rmse,validation error,+2.29 dB,45,P3-D,30,-0.08579553630752272,-0.08654764799284093,-0.08504342462220452,130.56666666666666,130.21904455272738,130.91428878060594,1476.9932843660415,1451.9898464138964,1501.9967223181866,-0.10782950572974101,-0.14313320969109883,-0.07252580176838319,-0.00005158250807181612,-0.0000688507649949357,-0.000034314251148696536,37.95644779628518,37.88116468219198,38.031730910378386
validation_plus_rmse,validation error,+2.29 dB,80,P0,30,0,0,0,0,0,0,0,0,0,2.286384011608764,2.286384011608761,2.2863840116087673,1.5937494663771383,1.593748987691368,1.5937499450629087,561.60667744872,561.4014758436649,561.8118790537751
validation_plus_rmse,validation error,+2.29 dB,80,P1,30,0,0,0,0,0,0,0,0,0,2.286384011608768,2.286384011608765,2.2863840116087712,1.3836694306842918,1.3691441359268728,1.3981947254417109,101.48098316984971,101.42475998104662,101.5372063586528
validation_plus_rmse,validation error,+2.29 dB,80,P2,30,-0.11550733436982359,-0.11626817657513136,-0.11474649216451582,309.06666666666666,308.569991066963,309.56334226637034,668.4441964825778,660.4940684266933,676.3943245384623,-0.07470240177100701,-0.07470336243839482,-0.0747014411036192,-0.0163166942169361,-0.01631690270693402,-0.016316485726938182,27.449814463332157,27.38175377206078,27.517875154603534
validation_plus_rmse,validation error,+2.29 dB,80,P3-U,30,-0.15467566804381558,-0.15570134886822343,-0.15364998721940773,413.8666666666667,413.57348133305203,414.1598520002813,968.6119612305134,958.9670140364408,978.2569084245861,0.2150600879719794,0.16207866338573465,0.2680415125582241,-0.000019556380185899632,-0.00004583582300409011,0.000006723062632290843,1.572068006734065,1.5318669261980056,1.6122690872701246
validation_plus_rmse,validation error,+2.29 dB,80,P3-D,30,-0.04890769899889945,-0.04922109043732713,-0.04859430756047177,130.86666666666667,130.55878859954504,131.1745447337883,1437.0424531605233,1430.895274671049,1443.1896316499976,-0.07451586224504562,-0.07466979900086543,-0.07436192548922582,-0.00006668468934171538,-0.00007679260886201749,-0.00005657676982141327,37.89317588783813,37.82637018583612,37.95998158984015
altitude_60,altitude,60 m,45,P0,30,0,0,0,0,0,0,0,0,0,1.2896130754886832,1.289613048349342,1.2896131026280244,0.7952390526702764,0.7952390516977025,0.7952390536428503,273.6101692575537,272.35462764273234,274.8657108723751
altitude_60,altitude,60 m,45,P1,30,0,0,0,0,0,0,0,0,0,1.2895320115685824,1.289522472628444,1.2895415505087209,0.7001561768465336,0.6935071890758073,0.70680516461726,46.34468760397026,46.165968220286466,46.52340698765405
