demand,target,policy,policy_id,seed,periods,requests,dispatched,completion_rate,first24_completion_rate,late24_service_ratio,final_queue,mean_wait_minutes,late_mean_wait_minutes,late_p95_wait_mean,final_oldest_queue_age,north_completion_rate,central_completion_rate,south_completion_rate,north_route_share,central_route_share,south_route_share,population_weighted_exposure_mean,late_population_weighted_exposure_mean,late_central_use_mean,late_central_budget_mean,late_central_budget_sd,late_target_gap,late_budget_direction_changes,final_central_budget,runtime_ms
45,14.05,P2 fixed,p2,515,120,8440,4680,0.5545023696682464,0.6054333764553687,0.5394812680115274,3760,11724.803248271895,21940.01612098487,22016.027237569473,24631,0.5511945392491467,0.5580838323353293,0.5472488038277512,0.3333333333333333,0.3333333333333333,0.3333333333333333,13.115205528522663,13.11520676727602,13.130532915200972,14.050000000000006,5.443687297790758e-15,5.329070518200751e-15,0,14.05,72.68012499999986
45,14.05,P2 fixed,p2,516,120,8354,4680,0.5602106775197511,0.6007702182284981,0.5584725536992841,3674,11908.900583533292,22271.082752961967,22338.099544948625,24859,0.5590361445783133,0.559154651392455,0.5646842427958307,0.3333333333333333,0.3333333333333333,0.3333333333333333,13.115208550654591,13.1152033202262,13.130531794845764,14.050000000000006,5.443687297790758e-15,5.329070518200751e-15,0,14.05,74.44225000000006
45,14.05,P2 fixed,p2,517,120,8496,4667,0.5493173258003766,0.5845471817606079,0.5252525252525253,3829,12078.14835372617,22518.003900989577,22587.095953522225,25259,0.5443856554967667,0.5458300550747442,0.5645821157218002,0.3334047568030855,0.3334047568030855,0.33319048639382903,13.080436421614062,13.115211512770472,13.130534397972374,14.050000000000006,5.443687297790758e-15,5.329070518200751e-15,0,14.05,74.18608399999994
45,14.05,P2 fixed,p2,518,120,8390,4669,0.5564958283671037,0.6401384083044983,0.5413533834586466,3721,11539.426494982517,22229.86339339612,22304.44088866014,25002,0.5614849187935035,0.5614909308351604,0.5360824742268041,0.33304776183336904,0.33369029770828873,0.33326194045834223,13.0926817350679,13.115216477642692,13.130535913338782,14.050000000000006,5.443687297790758e-15,5.329070518200751e-15,0,14.05,71.52170899999965
45,14.05,P2 fixed,p2,519,120,8388,4672,0.5569861707200763,0.6373626373626373,0.5336374002280502,3716,11557.784132485405,22159.77704279458,22225.56404749795,24857,0.5354719309068476,0.5631797508404193,0.5590643274853802,0.3332619863013699,0.3334760273972603,0.3332619863013699,13.096107186784659,13.115206557758585,13.130532778125493,14.050000000000006,5.443687297790758e-15,5.329070518200751e-15,0,14.05,74.16675000000032
45,14.05,P2 fixed,p2,520,120,8555,4677,0.546697837521917,0.6086105675146771,0.549618320610687,3878,12190.05942223298,23105.951318486394,23187.166978436722,25980,0.5428233904311872,0.5484624367458155,0.5452436194895591,0.3333333333333333,0.3333333333333333,0.3333333333333333,13.106799622117089,13.115206035123721,13.130532573145686,14.050000000000006,5.443687297790758e-15,5.329070518200751e-15,0,14.05,74.84812500000044
45,14.05,P2 fixed,p2,521,120,8583,4674,0.5445648374694163,0.6070496083550914,0.5194228634850167,3909,12079.38900482472,22753.713596387817,22828.32077712851,25517,0.5436507936507936,0.5469395788230663,0.5385500575373993,0.3333333333333333,0.3333333333333333,0.3333333333333333,13.098391801510349,13.115211333527588,13.130534366069702,14.050000000000006,5.443687297790758e-15,5.329070518200751e-15,0,14.05,75.15458300000046
45,14.05,P2 fixed,p2,522,120,8415,4673,0.5553178847296494,0.6152317880794702,0.5631768953068592,3742,11974.592508811525,22625.065361319546,22697.692093945618,25411,0.5432464454976303,0.5524795857398924,0.5756154747948418,0.3331906698052643,0.3334046650973679,0.3334046650973679,13.09724474017209,13.115193634128138,13.130528814866148,14.050000000000006,5.443687297790758e-15,5.329070518200751e-15,0,14.05,74.70579100000032
45,14.05,P2 fixed,p2,523,120,8540,4680,0.5480093676814989,0.600384862091084,0.5330296127562643,3860,12069.454353203677,22573.247010734973,22638.895400746598,25214,0.5520894643908181,0.5513651541936752,0.5342857142857143,0.3333333333333333,0.3333333333333333,0.3333333333333333,13.115206247726286,13.115210920664564,13.130534175841431,14.050000000000006,5.443687297790758e-15,5.329070518200751e-15,0,14.05,74.12504100000024
45,14.05,P2 fixed,p2,524,120,8484,4676,0.5511551155115512,0.6087524493794906,0.5416666666666666,3808,11914.81292910952,22483.27543142344,22556.464722562898,25248,0.5738396624472574,0.5437366062731346,0.5514184397163121,0.33340461933276305,0.33340461933276305,0.3331907613344739,13.10566122945917,13.11520830396767,13.130533336253608,14.050000000000006,5.443687297790758e-15,5.329070518200751e-15,0,14.05,75.45029199999954
45,14.05,P2 fixed,p2,525,120,8516,4680,0.5495537811178958,0.618229854689564,0.519134775374376,3836,11869.223332695994,22479.716094224583,22549.516165307796,25129,0.5420118343195266,0.5509967098896845,0.5527426160337553,0.3333333333333333,0.3333333333333333,0.3333333333333333,13.115210437976918,13.115214087787512,13.130535053256033,14.050000000000006,5.443687297790758e-15,5.329070518200751e-15,0,14.05,73.81933299999946
45,14.05,P2 fixed,p2,526,120,8461,4675,0.5525351613284482,0.6273584905660378,0.5451368666278392,3786,11777.005351288246,22416.865924941707,22487.695929769805,25101,0.5406839622641509,0.5539638932496075,0.5602156980227682,0.333475935828877,0.3332620320855615,0.3332620320855615,13.099537050500611,13.115213367813004,13.13053488213803,14.050000000000006,5.443687297790758e-15,5.329070518200751e-15,0,14.05,73.05566699999963
45,14.05,P2 fixed,p2,527,120,8470,4679,0.5524203069657615,0.614323258869908,0.5460910151691949,3791,11786.255710900386,22389.216164949506,22464.293198299525,25177,0.5356932153392331,0.5527409459726895,0.5679442508710801,0.33340457362684334,0.33340457362684334,0.3331908527463133,13.114064634294463,13.115208575492206,13.130533543570147,14.050000000000006,5.443687297790758e-15,5.329070518200751e-15,0,14.05,82.20316600000024
45,14.05,P2 fixed,p2,528,120,8546,4680,0.5476246197051252,0.600384862091084,0.5300113250283126,3866,12150.103605198085,22902.964031309763,22977.39133424344,25604,0.5404304828388597,0.5523734797959984,0.5407750144592249,0.3333333333333333,0.3333333333333333,0.3333333333333333,13.115207387990209,13.11520243086914,13.130531487344618,14.050000000000006,5.443687297790758e-15,5.329070518200751e-15,0,14.05,74.55391700000018
45,14.05,P2 fixed,p2,529,120,8502,4680,0.5504587155963303,0.6358695652173914,0.5454545454545454,3822,11719.838015916226,22404.280649244352,22478.416249086513,25232,0.5525087514585765,0.5439549776829031,0.5688073394495413,0.3333333333333333,0.3333333333333333,0.3333333333333333,13.115207096226555,13.115208466571794,13.130533293816228,14.050000000000006,5.443687297790758e-15,5.329070518200751e-15,0,14.05,75.07041700000082
