setting,factor,level,demand,seed,policy,requests,dispatched,completion_rate,final_queue,peak_queue,mean_wait,peak_lae_db,peak_budget_utilization,population_weighted_equivalent,route_1_share,route_2_share,route_3_share,budget_reference_missions,source_adjustment_db,validation_adjustment_db,altitude_m,speed_mps,route_weight_km
validation_minus_rmse,validation error,-2.29 dB,45,508,P2,1526,1097,0.718872870249017,429,429,1037.5239676276708,76.20298402598351,0.9765717221928355,368.3975734982969,0.22242479489516864,0.7219690063810392,0.05560619872379216,20,0,-2.2863840116087695,80,15,0.35
validation_minus_rmse,validation error,-2.29 dB,45,508,P3-U,1526,1048,0.6867627785058977,478,478,1222.0820930963355,76.20232167824321,0.9999368605496507,290.65683670960743,0.3463740458015267,0.5562977099236641,0.09732824427480916,20,0,-2.2863840116087695,80,15,0.35
validation_minus_rmse,validation error,-2.29 dB,45,508,P3-D,1526,1024,0.6710353866317169,502,502,1280.499556270353,76.20232167824321,0.9999781121624146,294.7139090326765,0.32421875,0.5859375,0.08984375,20,0,-2.2863840116087695,80,15,0.35
validation_minus_rmse,validation error,-2.29 dB,45,509,P0,1549,1079,0.6965784377017431,470,470,1024.5505069490932,77.63684270453837,1.3586070757508877,468.24507953856505,0,1,0,20,0,-2.2863840116087695,80,15,0.35
validation_minus_rmse,validation error,-2.29 dB,45,509,P1,1549,1055,0.6810845706907682,494,494,1076.392447139444,77.03027038709041,1.1815026993602176,85.43666362198931,0.7962085308056872,0,0.2037914691943128,20,0,-2.2863840116087695,80,15,0.35
validation_minus_rmse,validation error,-2.29 dB,45,509,P2,1549,1079,0.6965784377017431,470,470,1024.918303631829,76.20298337864207,0.9765715766290917,366.93994319359945,0.20759962928637626,0.7340129749768304,0.05838739573679333,20,0,-2.2863840116087695,80,15,0.35
validation_minus_rmse,validation error,-2.29 dB,45,509,P3-U,1549,1048,0.6765655261459006,501,501,1099.734955606258,76.20034463096366,0.9999925403442046,290.65674764941326,0.34541984732824427,0.5562977099236641,0.0982824427480916,20,0,-2.2863840116087695,80,15,0.35
validation_minus_rmse,validation error,-2.29 dB,45,509,P3-D,1549,1023,0.6604260813428018,526,526,1157.4478438136473,76.20034463096366,0.9999243867954274,294.63286898992334,0.3255131964809384,0.5865102639296188,0.08797653958944282,20,0,-2.2863840116087695,80,15,0.35
validation_minus_rmse,validation error,-2.29 dB,45,510,P0,1539,1080,0.7017543859649122,459,459,1000.9821949079724,77.636842038065,1.3586054740954017,468.67888552993537,0,1,0,20,0,-2.2863840116087695,80,15,0.35
validation_minus_rmse,validation error,-2.29 dB,45,510,P1,1539,1053,0.6842105263157895,486,486,1064.2554830418296,77.13734565101831,1.2109971359243787,85.2748735210041,0.8176638176638177,0,0.18233618233618235,20,0,-2.2863840116087695,80,15,0.35
validation_minus_rmse,validation error,-2.29 dB,45,510,P2,1539,1080,0.7017543859649122,459,459,1001.7886609401424,76.20298371692024,0.9765716526956505,367.0209113410717,0.2175925925925926,0.7333333333333333,0.049074074074074076,20,0,-2.2863840116087695,80,15,0.35
validation_minus_rmse,validation error,-2.29 dB,45,510,P3-U,1539,1048,0.6809616634178037,491,491,1074.2712941951315,76.20232161980452,0.9999507963986789,290.65680756995084,0.36736641221374045,0.5562977099236641,0.07633587786259542,20,0,-2.2863840116087695,80,15,0.35
validation_minus_rmse,validation error,-2.29 dB,45,510,P3-D,1539,1024,0.6653671215074723,515,515,1130.5292740325337,76.20232161980452,0.9999798866048281,294.7139228310025,0.3447265625,0.5859375,0.0693359375,20,0,-2.2863840116087695,80,15,0.35
validation_minus_rmse,validation error,-2.29 dB,45,511,P0,1565,1100,0.7028753993610224,465,465,1167.845414976473,77.63684226022279,1.3586060079805637,477.35823566533594,0,1,0,20,0,-2.2863840116087695,80,15,0.35
validation_minus_rmse,validation error,-2.29 dB,45,511,P1,1565,1064,0.6798722044728435,501,501,1284.6825450737917,77.03019205408022,1.1814834011354707,86.16555696326782,0.8139097744360902,0,0.18609022556390978,20,0,-2.2863840116087695,80,15,0.35
validation_minus_rmse,validation error,-2.29 dB,45,511,P2,1565,1100,0.7028753993610224,465,465,1168.406012602301,76.20298340785696,0.9765715831984658,368.64057363586267,0.2318181818181818,0.72,0.04818181818181818,20,0,-2.2863840116087695,80,15,0.35
validation_minus_rmse,validation error,-2.29 dB,45,511,P3-U,1565,1067,0.6817891373801916,498,498,1228.0803663828042,76.20232254713562,0.9999705359760542,292.1954626929491,0.37300843486410495,0.5463917525773195,0.08059981255857544,20,0,-2.2863840116087695,80,15,0.35
validation_minus_rmse,validation error,-2.29 dB,45,511,P3-D,1565,1024,0.6543130990415336,541,541,1412.1440965621014,76.20232254713562,0.9999599167230133,294.7138906567351,0.34375,0.5859375,0.0703125,20,0,-2.2863840116087695,80,15,0.35
validation_minus_rmse,validation error,-2.29 dB,45,512,P0,1528,1093,0.7153141361256544,435,435,1069.4496467080182,77.63684248238059,1.3586065418657258,474.32041537440006,0,1,0,20,0,-2.2863840116087695,80,15,0.35
validation_minus_rmse,validation error,-2.29 dB,45,512,P1,1528,1059,0.6930628272251309,469,469,1188.0592714383467,77.24191897960391,1.2405108707132868,85.76077166704867,0.8234183191690274,0,0.17658168083097261,20,0,-2.2863840116087695,80,15,0.35
validation_minus_rmse,validation error,-2.29 dB,45,512,P2,1528,1092,0.7146596858638743,436,436,1077.9057752049428,76.20298371692024,0.9765716526956507,367.9927136369025,0.22252747252747251,0.7252747252747253,0.0521978021978022,20,0,-2.2863840116087695,80,15,0.35
validation_minus_rmse,validation error,-2.29 dB,45,512,P3-U,1528,1048,0.6858638743455497,480,480,1241.0831659954213,76.20166454359475,0.9999362457983243,290.6568473237043,0.3683206106870229,0.5562977099236641,0.07538167938931298,20,0,-2.2863840116087695,80,15,0.35
validation_minus_rmse,validation error,-2.29 dB,45,512,P3-D,1528,1024,0.6701570680628273,504,504,1302.001131756185,76.20166454359475,0.9999988232777342,294.7139574600658,0.3427734375,0.5859375,0.0712890625,20,0,-2.2863840116087695,80,15,0.35
validation_minus_rmse,validation error,-2.29 dB,45,513,P0,1472,1065,0.7235054347826086,407,407,1027.25676063006,77.63684226022279,1.3586060079805637,462.16953647542493,0,1,0,20,0,-2.2863840116087695,80,15,0.35
validation_minus_rmse,validation error,-2.29 dB,45,513,P1,1472,1038,0.7051630434782609,434,434,1078.2234914385717,77.1374223242127,1.2110169680339702,84.06003591146934,0.7861271676300579,0,0.2138728323699422,20,0,-2.2863840116087695,80,15,0.35
validation_minus_rmse,validation error,-2.29 dB,45,513,P2,1472,1065,0.7235054347826086,407,407,1027.6663776535922,76.20298433504675,0.97657179169002,365.80616967452426,0.19906103286384977,0.7436619718309859,0.05727699530516432,20,0,-2.2863840116087695,80,15,0.35
validation_minus_rmse,validation error,-2.29 dB,45,513,P3-U,1472,1016,0.6902173913043478,456,456,1234.7269957311864,76.20034367397746,0.9999868591585466,288.0653470098698,0.3297244094488189,0.5738188976377953,0.09645669291338582,20,0,-2.2863840116087695,80,15,0.35
validation_minus_rmse,validation error,-2.29 dB,45,513,P3-D,1472,1022,0.6942934782608695,450,450,1115.6196599014554,76.20034367397746,0.9999483760962891,294.5517895581331,0.31800391389432486,0.5870841487279843,0.0949119373776908,20,0,-2.2863840116087695,80,15,0.35
validation_minus_rmse,validation error,-2.29 dB,45,514,P0,1510,1085,0.7185430463576159,425,425,1014.7722176125548,77.63684270453837,1.3586070757508877,470.8488094084961,0,1,0,20,0,-2.2863840116087695,80,15,0.35
validation_minus_rmse,validation error,-2.29 dB,45,514,P1,1510,1053,0.6973509933774834,457,457,1106.0003205534229,77.24192043944325,1.2405140740223541,85.27476590251024,0.8157644824311491,0,0.1842355175688509,20,0,-2.2863840116087695,80,15,0.35
validation_minus_rmse,validation error,-2.29 dB,45,514,P2,1510,1085,0.7185430463576159,425,425,1015.4719408704858,76.20298396755375,0.9765717090540867,367.4258833985753,0.21474654377880184,0.7299539170506912,0.055299539170506916,20,0,-2.2863840116087695,80,15,0.35
validation_minus_rmse,validation error,-2.29 dB,45,514,P3-U,1510,1021,0.676158940397351,489,489,1246.8538793437888,76.19968469345424,0.9999611776284283,288.47031961444804,0.3555337904015671,0.5710088148873653,0.07345739471106758,20,0,-2.2863840116087695,80,15,0.35
validation_minus_rmse,validation error,-2.29 dB,45,514,P3-D,1510,1023,0.6774834437086092,487,487,1207.6124240415757,76.19968469345424,0.9999910711611789,294.6329121102642,0.3460410557184751,0.5865102639296188,0.06744868035190615,20,0,-2.2863840116087695,80,15,0.35
validation_minus_rmse,validation error,-2.29 dB,45,515,P0,1546,1095,0.7082794307891332,451,451,1094.893728183131,77.63684270453837,1.3586070757508877,475.1883646094218,0,1,0,20,0,-2.2863840116087695,80,15,0.35
validation_minus_rmse,validation error,-2.29 dB,45,515,P1,1546,1061,0.6862871927554981,485,485,1200.1505282416706,77.24199285544819,1.2405285672834996,85.92266938652773,0.8162111215834119,0,0.18378887841658811,20,0,-2.2863840116087695,80,15,0.35
validation_minus_rmse,validation error,-2.29 dB,45,515,P2,1546,1095,0.7082794307891332,451,451,1095.3968967072344,76.20298396755375,0.9765717090540867,368.23558089724025,0.22100456621004566,0.7232876712328767,0.05570776255707763,20,0,-2.2863840116087695,80,15,0.35
validation_minus_rmse,validation error,-2.29 dB,45,515,P3-U,1546,1048,0.6778783958602846,498,498,1266.10908138467,76.20298276051541,0.9999518520023807,290.65683282868525,0.36450381679389315,0.5562977099236641,0.07919847328244274,20,0,-2.2863840116087695,80,15,0.35
validation_minus_rmse,validation error,-2.29 dB,45,515,P3-D,1546,1024,0.6623544631306598,522,522,1312.6170009929422,76.20298276051541,0.9999385604318557,294.71387246315203,0.3466796875,0.5859375,0.0673828125,20,0,-2.2863840116087695,80,15,0.35
validation_minus_rmse,validation error,-2.29 dB,45,516,P0,1558,1081,0.6938382541720154,477,477,1147.4661504178378,77.63684181590719,1.3586049402102403,469.11286624236703,0,1,0,20,0,-2.2863840116087695,80,15,0.35
validation_minus_rmse,validation error,-2.29 dB,45,516,P1,1558,1056,0.6777920410783055,502,502,1183.0503372815924,76.80769275312264,1.1224725603581789,85.5178174693362,0.803030303030303,0,0.19696969696969696,20,0,-2.2863840116087695,80,15,0.35
validation_minus_rmse,validation error,-2.29 dB,45,516,P2,1558,1080,0.693196405648267,478,478,1153.09227429466,76.20298343707185,0.9765715897678401,367.0209867852983,0.21481481481481482,0.7333333333333333,0.05185185185185185,20,0,-2.2863840116087695,80,15,0.35
validation_minus_rmse,validation error,-2.29 dB,45,516,P3-U,1558,1063,0.6822849807445442,495,495,1168.6955665550709,76.2023226055743,0.9999713968105477,291.8715467489624,0.36688617121354655,0.548447789275635,0.08466603951081844,20,0,-2.2863840116087695,80,15,0.35
validation_minus_rmse,validation error,-2.29 dB,45,516,P3-D,1558,1024,0.6572528883183568,534,534,1271.916326355227,76.2023226055743,0.9999826937795152,294.71392477146355,0.333984375,0.5859375,0.080078125,20,0,-2.2863840116087695,80,15,0.35
validation_minus_rmse,validation error,-2.29 dB,45,517,P0,1579,1055,0.6681443951868271,524,524,1195.066850630726,77.63684226022279,1.3586060079805637,457.82987562920624,0,1,0,20,0,-2.2863840116087695,80,15,0.35
validation_minus_rmse,validation error,-2.29 dB,45,517,P1,1579,1028,0.6510449651678277,551,551,1259.0278291300451,77.03019154315587,1.1814823333657816,83.25026033142366,0.8025291828793775,0,0.19747081712062256,20,0,-2.2863840116087695,80,15,0.35
validation_minus_rmse,validation error,-2.29 dB,45,517,P2,1579,1055,0.6681443951868271,524,524,1195.4594003120653,76.20298439347653,0.9765718048287686,364.29037845176725,0.2028436018957346,0.7488151658767772,0.04834123222748815,20,0,-2.2863840116087695,80,15,0.35
validation_minus_rmse,validation error,-2.29 dB,45,517,P3-U,1579,1016,0.643445218492717,563,563,1337.012528430111,76.20100292218558,0.999939300281442,288.065436070064,0.35039370078740156,0.5738188976377953,0.07578740157480315,20,0,-2.2863840116087695,80,15,0.35
