setting,policy,target,delay,damping,initial_budget,seed,requests,dispatched,completion_rate,final_queue,blocked_dispatch_attempts,head_of_line_blocked_attempts,head_of_line_share,warm_budget_mean,warm_budget_sd,warm_dispatch_mean,warm_dispatch_sd,budget_direction_changes,periods_within_point_one,final_central_budget,final_central_use
p3d_025_t10_d0,P3-D0.25,10,0,0.25,20,529,2705,895,0.33086876155268025,1810,532,0,0,11.473794157346058,0.6772006748082255,35,3.8297084310253524,0,0,10.866172697831342,10.10543609955285
p3d_025_t10_d0,P3-D0.25,10,0,0.25,20,530,2691,895,0.3325901151988109,1796,550,0,0,11.473187702922333,0.6770692455525247,34.9375,3.8896229465934957,0,0,10.866176012499617,10.10544125056013
p3d_05_t10_d0,P3-D0.5,10,0,0.5,20,501,2681,809,0.3017530772099963,1872,748,0,0,10.743813684149394,0.14512538286244167,30.375,0.806225774829855,0,0,10.516743477056778,10.10042010725463
p3d_05_t10_d0,P3-D0.5,10,0,0.5,20,502,2595,809,0.3117533718689788,1786,718,0,0,10.743692938170476,0.1449706849678445,30.3125,0.6020797289396148,0,0,10.516706761965969,10.10042010725463
p3d_05_t10_d0,P3-D0.5,10,0,0.5,20,503,2680,809,0.30186567164179107,1871,721,0,0,10.743705456496071,0.14496662787164327,30.3125,0.6020797289396148,0,0,10.516715358787065,10.100414956247352
p3d_05_t10_d0,P3-D0.5,10,0,0.5,20,504,2672,809,0.3027694610778443,1863,740,0,0,10.743702859719908,0.14496165667682814,30.3125,0.6020797289396148,0,0,10.516730453636688,10.10040252358818
p3d_05_t10_d0,P3-D0.5,10,0,0.5,20,505,2723,809,0.2970987881013588,1914,786,0,0,10.74379629113902,0.14513323696194175,30.375,0.806225774829855,0,0,10.516712325790548,10.10042010725463
p3d_05_t10_d0,P3-D0.5,10,0,0.5,20,506,2721,808,0.29694965086365305,1913,735,0,0,10.745179710783734,0.14497330757752658,30.3125,0.6020797289396148,0,0,10.518193774574547,10.100422361953107
p3d_05_t10_d0,P3-D0.5,10,0,0.5,20,507,2762,809,0.29290369297610425,1953,778,0,0,10.74378000099921,0.14512588653100883,30.375,0.806225774829855,0,0,10.516704088559182,10.100411837509041
p3d_05_t10_d0,P3-D0.5,10,0,0.5,20,508,2805,809,0.28841354723707663,1996,768,0,0,10.743710924341162,0.14496472524695886,30.3125,0.6020797289396148,0,0,10.516727528721432,10.100430828449996
p3d_05_t10_d0,P3-D0.5,10,0,0.5,20,509,2656,809,0.3045933734939759,1847,730,0,0,10.743699608886471,0.14496871560285562,30.3125,0.6020797289396148,0,0,10.516715597607321,10.100427388906521
