demand,target,policy,policy_id,comparison,fixed_budget,pairs,delta_completion_rate_mean,delta_completion_rate_ci_low,delta_completion_rate_ci_high,delta_late24_service_ratio_mean,delta_late24_service_ratio_ci_low,delta_late24_service_ratio_ci_high,delta_final_queue_mean,delta_final_queue_ci_low,delta_final_queue_ci_high,delta_population_weighted_exposure_mean_mean,delta_population_weighted_exposure_mean_ci_low,delta_population_weighted_exposure_mean_ci_high,delta_late_mean_wait_minutes_mean,delta_late_mean_wait_minutes_ci_low,delta_late_mean_wait_minutes_ci_high
45,14.1,P3-U,p3u,same_target,14.1,30,0.018071669176352126,0.017805938871942085,0.018337399480762167,0.014292447909844398,0.014155432989454965,0.01442946283023383,-152.83333333333334,-155.02535152549993,-150.64131514116676,0.7967895463908756,0.7918871268087125,0.8016919659730387,-923.401400642227,-938.7507539776758,-908.0520473067783
45,14.1,P3-U,p3u,nearest_exposure,14.15,30,0.004063881113990679,0.003741047668758407,0.004386714559222951,0.00045992153506277573,0.0003760950564799407,0.0005437480136456107,-34.36666666666667,-37.08460806705386,-31.648725266279474,0.06935748481946777,0.06182923094065613,0.07688573869827942,-221.5214771925724,-239.05038474254246,-203.99256964260235
45,14.15,P3-D0.50,p3d_05,same_target,14.15,30,0.008848723520277612,0.008500037529431254,0.00919740951112397,0.0023054210624636156,0.002285038139936517,0.0023258039849907144,-74.83333333333333,-77.7633034533541,-71.90336321331256,0.18528485009208892,0.177508791495865,0.19306090868831285,-495.1460009980674,-511.3915897428713,-478.9004122532635
45,14.15,P3-D0.50,p3d_05,nearest_exposure,14.15,30,0.008848723520277612,0.008500037529431254,0.00919740951112397,0.0023054210624636156,0.002285038139936517,0.0023258039849907144,-74.83333333333333,-77.7633034533541,-71.90336321331256,0.18528485009208892,0.177508791495865,0.19306090868831285,-495.1460009980674,-511.3915897428713,-478.9004122532635
45,14.15,P3-U,p3u,same_target,14.15,30,0.005979404415548458,0.005653336987404943,0.006305471843691974,0.001250278673091502,0.0011672699986475363,0.001333287347535468,-50.56666666666667,-53.30919117418333,-47.82414215915001,0.11690981353689285,0.10918614911092213,0.12463347796286357,-321.20614669820924,-338.83759218192546,-303.574701214493
45,14.15,P3-U,p3u,nearest_exposure,14.15,30,0.005979404415548458,0.005653336987404943,0.006305471843691974,0.001250278673091502,0.0011672699986475363,0.001333287347535468,-50.56666666666667,-53.30919117418333,-47.82414215915001,0.11690981353689285,0.10918614911092213,0.12463347796286357,-321.20614669820924,-338.83759218192546,-303.574701214493
45,18,P3-D0.50,p3d_05,same_target,18,30,-0.0003740705923078624,-0.0005418797177414157,-0.00020626146687430921,-0.00005429935666275698,-0.00029304489769994835,0.00018444618437443437,3.1666666666666665,1.7443110575002376,4.589022275833095,-0.030837504201190195,-0.04271791825494796,-0.01895709014743243,22.120497824402385,12.680062084049235,31.560933564755537
45,18,P3-D0.50,p3d_05,nearest_exposure,18,30,-0.0003740705923078624,-0.0005418797177414157,-0.00020626146687430921,-0.00005429935666275698,-0.00029304489769994835,0.00018444618437443437,3.1666666666666665,1.7443110575002376,4.589022275833095,-0.030837504201190195,-0.04271791825494796,-0.01895709014743243,22.120497824402385,12.680062084049235,31.560933564755537
45,18,P3-U,p3u,same_target,18,30,-0.00019752739379848375,-0.00033102705672878537,-0.00006402773086818214,-0.000039708654180307486,-0.00019527871157757847,0.00011586140321696352,1.6666666666666667,0.541582421204589,2.7917509121287445,-0.014517537167469523,-0.023887509063493288,-0.005147565271445756,11.664060137269553,4.032656347173549,19.295463927365557
45,18,P3-U,p3u,nearest_exposure,18,30,-0.00019752739379848375,-0.00033102705672878537,-0.00006402773086818214,-0.000039708654180307486,-0.00019527871157757847,0.00011586140321696352,1.6666666666666667,0.541582421204589,2.7917509121287445,-0.014517537167469523,-0.023887509063493288,-0.005147565271445756,11.664060137269553,4.032656347173549,19.295463927365557
