setting,policy,target,delay,damping,seed,periods,requests,dispatched,completion_rate,first24_completion_rate,late24_service_ratio,final_queue,final_queue_north,final_queue_central,final_queue_south,late_trip_north_share,late_trip_central_share,late_trip_south_share,late_budget_mean,late_budget_sd,late_dispatch_mean,late_dispatch_sd,late_use_mean,late_use_sd,late_direction_changes,final_central_budget,target_gap,first_sustained_within_point_one,first_sustained_dispatch_below_40
p2_b17,P2,17,0,0,525,120,15123,5464,0.3613039740792171,0.4166348721861885,0.34777070063694265,9659,1982,5748,1929,0.3516483516483517,0.3516483516483517,0.2967032967032967,17,0,45.5,0.7223151185146152,16.14811961793826,0.0036208251280570943,0,17,0,1,0
p2_b17,P2,17,0,0,526,120,15150,5456,0.36013201320132016,0.4080868588543617,0.34808917197452227,9694,1973,5766,1955,0.3513266239707228,0.3513266239707228,0.29734675205855443,17,0,45.541666666666664,0.5089773777040514,16.148326392350796,0.0025532177557002042,0,17,0,1,0
p2_b17,P2,17,0,0,527,120,14897,5463,0.36671813116734914,0.4054957296695135,0.3711864406779661,9434,1879,5690,1865,0.3506849315068493,0.3506849315068493,0.29863013698630136,17,0,45.625,0.5757792451369143,16.14874419960061,0.002887929695250939,0,17,0,1,0
p2_b17,P2,17,0,0,528,120,15067,5460,0.362381363244176,0.4117869285984133,0.34599556821779043,9607,1907,5706,1994,0.3513266239707228,0.3513266239707228,0.29734675205855443,17,0,45.541666666666664,0.5882299658752715,16.148327788878955,0.0029484294772031145,0,17,0,1,0
p2_b17,P2,17,0,0,529,120,14874,5461,0.3671507328223746,0.4033271719038817,0.36858108108108106,9413,1890,5647,1876,0.3519706691109074,0.3519706691109074,0.29605866177818513,17,0,45.458333333333336,0.779027636204913,16.147912571829345,0.003905759205399481,0,17,0,1,0
p2_b17,P2,17,0,0,530,120,15004,5460,0.3639029592108771,0.4057971014492754,0.3384853168469861,9544,1902,5643,1999,0.3506849315068493,0.3506849315068493,0.29863013698630136,17,0,45.625,0.6468989572333266,16.148743003457827,0.0032432920406865384,0,17,0,1,0
p3u_t17,P3-U,17,1,1,501,120,15018,5230,0.3482487681448928,0.39462886982469225,0.33956788132860366,9788,1910,5883,1995,0.3779677113010446,0.3855650522317189,0.23646723646723647,17.428495339613537,0.29618887948773204,43.875,5.659255597076657,17.05202602970488,0.27905924940905336,2,17.104516514243954,0.42849533961353714,0,0
p3u_t17,P3-U,17,1,1,502,120,14935,5233,0.35038500167392034,0.41811175337186895,0.3285348688419706,9702,1995,5815,1892,0.37877312560856863,0.3953261927945472,0.22590068159688412,17.397318971934588,0.29693534449600933,42.791666666666664,7.4482514240164,17.046586909708296,0.27843383199936095,2,17.01707070996661,0.3973189719345882,0,0
p3u_t17,P3-U,17,1,1,503,120,15156,5229,0.34501187648456055,0.3932835820895522,0.33081761006289306,9927,1993,5973,1961,0.38593155893536124,0.38593155893536124,0.22813688212927757,17.43018296058482,0.2959666341121874,43.833333333333336,5.654291687979462,17.051818869863762,0.2789919194286156,2,17.110319012610407,0.4301829605848191,0,0
p3u_t17,P3-U,17,1,1,504,120,14935,5230,0.3501841312353532,0.39558383233532934,0.34231018818948733,9705,1928,5864,1913,0.37819905213270144,0.3848341232227488,0.23696682464454977,17.431345394007177,0.2956313185652477,43.958333333333336,5.433224414307941,17.052441806015395,0.2790751385237656,2,17.10437877875895,0.4313453940071774,0,0
p3u_t17,P3-U,17,1,1,505,120,14696,5231,0.3559471965160588,0.38817480719794345,0.3480699439129,9465,1887,5681,1897,0.381042654028436,0.3848341232227488,0.23412322274881517,17.427568826290777,0.29650277200404057,43.958333333333336,5.683532020837398,17.052440346751816,0.2792012122543183,2,17.101479423929124,0.4275688262907771,0,0
p3u_t17,P3-U,17,1,1,506,120,14887,5233,0.3515147444078726,0.398382947445792,0.33507000976880497,9654,1922,5709,2023,0.3751214771622935,0.3945578231292517,0.2303206997084548,17.39760195852021,0.2965974191189408,42.875,7.426816861593678,17.047002707882232,0.2785451441241943,2,17.016985633711954,0.39760195852020885,0,0
p3u_t17,P3-U,17,1,1,507,120,14932,5229,0.3501875167425663,0.38233164373642287,0.3382684261345349,9703,2010,5776,1917,0.3815413891531874,0.38629876308277833,0.23215984776403426,17.42635384683552,0.2967513112975251,43.791666666666664,5.912250852672569,17.051605330261413,0.27906425655397504,2,17.098497964492882,0.42635384683552147,0,0
p3u_t17,P3-U,17,1,1,508,120,15103,5230,0.34628881679136597,0.3768270944741533,0.3389067524115756,9873,1971,5906,1996,0.38235294117647056,0.38519924098671726,0.23244781783681215,17.430779954372685,0.29646272811115737,43.916666666666664,5.617648174680643,17.052233000089082,0.27987450447485657,2,17.104437140652195,0.4307799543726851,0,0
p3u_t17,P3-U,17,1,1,509,120,15068,5231,0.3471595434032386,0.3960843373493976,0.3298872180451128,9837,2014,5899,1924,0.3779677113010446,0.3855650522317189,0.23646723646723647,17.425649279609182,0.2964181240590283,43.875,5.727982420424809,17.052019930530317,0.279093545486095,2,17.09544508354885,0.425649279609182,0,0
p3u_t17,P3-U,17,1,1,510,120,15073,5230,0.34697804020433887,0.3860226856933772,0.3463687150837989,9843,1936,5933,1974,0.38235294117647056,0.38519924098671726,0.23244781783681215,17.427457614694436,0.2966160564713629,43.916666666666664,5.671566509057853,17.052234001527008,0.27912917746421084,2,17.101488673200837,0.4274576146944362,0,0
p3u_t17,P3-U,17,1,1,511,120,14783,5231,0.35385239802475815,0.3950524737631184,0.351,9552,1854,5734,1964,0.3808167141500475,0.3855650522317189,0.2336182336182336,17.426541270396793,0.2963844808158596,43.875,5.855599326991292,17.052022124586518,0.27916200447100553,2,17.101455564303254,0.42654127039679324,0,0
p3u_t17,P3-U,17,1,1,512,120,14929,5233,0.3505258222251993,0.41734104046242776,0.3321474773609314,9696,1869,5874,1953,0.3807205452775073,0.3953261927945472,0.22395326192794549,17.395217858637537,0.29820302011973115,42.791666666666664,7.790625172584686,17.046582683823598,0.2786681583025745,2,17.014123500290456,0.3952178586375368,0,0
p3u_t17,P3-U,17,1,1,513,120,14926,5229,0.3503282862119791,0.3960284750843012,0.3428943937418514,9697,1899,5794,2004,0.3773764258555133,0.38593155893536124,0.23669201520912547,17.429572815143466,0.29747106381053356,43.833333333333336,5.909952303689435,17.051811839790904,0.27912357508379426,2,17.104369646979027,0.4295728151434659,0,0
p3u_t17,P3-U,17,1,1,514,120,14983,5230,0.3490622705733164,0.3866225652333701,0.35158597662771285,9753,1950,5870,1933,0.3817663817663818,0.3855650522317189,0.23266856600189934,17.42697340898059,0.29729048288490006,43.875,5.922047971260707,17.052020554305063,0.2791962909342853,2,17.101397862331346,0.4269734089805901,0,0
p3u_t17,P3-U,17,1,1,515,120,14802,5232,0.3534657478719092,0.4088168801808591,0.3440643863179074,9570,1896,5768,1906,0.37816764132553604,0.39571150097465885,0.22612085769980506,17.397460426500043,0.2977827706408086,42.75,7.478955983872057,17.04637588992318,0.2791653587350824,2,17.019994529291466,0.397460426500043,0,0
p3u_t17,P3-U,17,1,1,516,120,14879,5231,0.3515693258955575,0.3969811320754717,0.34578826614224845,9648,1916,5791,1941,0.37725118483412323,0.3848341232227488,0.23791469194312795,17.4289782129884,0.2971142135518511,43.958333333333336,5.945251423846901,17.052439799473138,0.2793375595392104,2,17.10137722983539,0.428978212988401,0,0
p3u_t17,P3-U,17,1,1,517,120,14968,5230,0.34941207910208444,0.4018264840182648,0.3430989583333333,9738,1978,5814,1946,0.3795066413662239,0.38519924098671726,0.23529411764705882,17.43208110821855,0.2952237165475163,43.916666666666664,5.4207064088561845,17.052236204654225,0.2790049972470139,2,17.104340244083364,0.4320811082185507,0,0
p3u_t17,P3-U,17,1,1,518,120,15023,5229,0.34806629834254144,0.39157973174366617,0.3397995473650178,9794,1996,5805,1993,0.3824928639391056,0.38629876308277833,0.23120837297811608,17.428150286316164,0.2966549227033257,43.791666666666664,5.904892346452083,17.05160703496688,0.2790553415057352,2,17.104296590656038,0.42815028631616414,0,0
p3u_t17,P3-U,17,1,1,519,120,14890,5231,0.35130960376091336,0.4091260634184068,0.33879781420765026,9659,1935,5767,1957,0.38045540796963945,0.38519924098671726,0.23434535104364326,17.428090001617186,0.2967644800785495,43.916666666666664,5.740145935629063,17.05223236264889,0.27916399950297544,2,17.10137683975797,0.4280900016171856,0,0
