seed,source_period,budget,method,workload_cap,requests,planned,planned_workload,dispatched,completed,final_queue,mean_wait_minutes,schedule_gap,plan_execution_rate,complete_plan,north_route_share,central_route_share,south_route_share,peak_budget_use
526,20,14.15,Time plan 930,930,141,42,866.6592986755053,42,42,99,103.54073464544902,0,1,1,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.9993298334935651
526,20,14.15,Time plan 960,960,141,42,866.6592986755053,42,42,99,103.54073464544902,0,1,1,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.9993298334935651
526,20,16,Greedy event,0,141,0,0,45,45,96,145.38037583715047,0,0,0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.9469139530764398
526,20,16,Time plan 900,900,141,43,886.9926320088385,43,43,98,109.64221141229156,0,1,1,0.3488372093023256,0.3488372093023256,0.3023255813953488,0.9462823214958717
526,20,16,Time plan 930,930,141,45,928.5635342951841,45,45,96,112.19128272749725,0,1,1,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.9469096301741482
526,20,16,Time plan 960,960,141,45,928.5635342951841,45,45,96,112.19128272749725,0,1,1,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.9469096301741482
526,20,17,Greedy event,0,141,0,0,45,45,96,145.38037583715047,0,0,0,0.35555555555555557,0.35555555555555557,0.28888888888888886,0.9497415960512323
526,20,17,Time plan 900,900,141,43,886.5405141989991,43,43,98,112.52655336791403,0,1,1,0.37209302325581395,0.37209302325581395,0.2558139534883721,0.9491469808533962
526,20,17,Time plan 930,930,141,45,928.1114164853448,45,45,96,114.82627353376226,0,1,1,0.28888888888888886,0.35555555555555557,0.35555555555555557,0.9497373890211859
526,20,17,Time plan 960,960,141,46,948.8968676285175,46,46,95,118.2575063410954,0,1,1,0.34782608695652173,0.34782608695652173,0.30434782608695654,0.9500325931050807
526,20,18,Greedy event,0,141,0,0,46,46,95,148.23652357910314,0,0,0,0.3695652173913043,0.3695652173913043,0.2608695652173913,0.9525331518044858
526,20,18,Time plan 900,900,141,43,886.0883963891596,43,43,98,113.92029615190113,0,1,1,0.3953488372093023,0.3953488372093023,0.20930232558139536,0.9516933447267513
